pmcid,paper_type,vaccine_name,vaccine_name_generated,vaccine_target_pathogen,vaccine_target_host,vaccine_model_host,vaccine_delivery_method,vaccine_manufacturer,vaccine_storage_method,vaccine_stage,vaccine_license,vaccine_antigen,vaccine_formulation,vaccine_gene
PMC6497511,full_text,,False,Brucella,"humans, livestock",,,,,,,,,
PMC5712581,full_text,,False,Brucella abortus,"Humans, livestock (natural host)",,,,,research,,,,
PMC11767844,full_text,Brucella abortus S19,False,Brucella abortus,"cattle, buffaloes",,injection,"government laboratory in Abbassyia, Egypt",,licensed,,live attenuated Brucella abortus S19,live attenuated vaccine,
PMC6584856,full_text,,False,Brucella abortus,cattle,,,,,,,,,
PMC4742603,full_text,SOmp2b recombinant protein vaccine,True,Brucella abortus,Cattle,Mouse,Subunit protein injection,,Stored at -20℃,research,,"Omp2b (outer membrane protein 2b, short form lacking signal peptide)","Recombinant protein purified by Ni-NTA affinity chromatography under denaturing conditions, dialyzed against urea and PBS",SOmp2b gene (GenBank accession KP071938)
PMC10459811,full_text,Rev.1 conjunctival vaccine,False,Brucella melitensis,Alpine ibex (Capra ibex),Alpine ibex (Capra ibex),conjunctival,"CZ Veterinaria, Spain",,research,,live attenuated Brucella melitensis Rev.1,1–2 × 10^9 CFU in a 35 μL/dose,
PMC1791392,full_text,,False,Brucella abortus,,Guinea pig,,,,research,,Brucella abortus whole cell (ether-killed and heat-killed),Suspensions in saline and saline oil emulsions,
PMC7397708,full_text,Xyloglucan-based subunit nanovaccine for brucellosis,True,Brucella spp. (specifically B. abortus strain S19),"Humans and animals (cattle, sheep, goats)","Balb/c mice, Sprague Dawley rats, goat nasal mucosa (ex vivo)",Intranasal (mucosal) administration,"Developed in research laboratory; Xyloglucan (Glyloid 2A) sourced from Dainippon, Japan","Dry powder form, stable at room temperature (30°C ± 2°C, 65% RH ± 5% RH) for at least 1 year",research,,Lipopolysaccharides (LPS) from Brucella abortus strain S19,Subunit nanovaccine comprising xyloglucan nanoparticles loaded with Brucella LPS (antigen) and quillaja saponin (immunoadjuvant),
PMC7892938,full_text,TBO-loaded glycine nanoparticle vaccine,True,"Brucella melitensis, Brucella abortus","human, domestic animals",BALB/c mice,"intraperitoneal injection, oral administration, nasal administration",,"stored at room temperature (glycine nanoparticles), recombinant protein stored at −70℃",research,,recombinant chimeric antigen TF/Bp26/Omp31 (TBO),glycine nanoparticles loaded with recombinant TBO protein,"TF, Bp26, Omp31"
PMC12213604,full_text,"B. melitensis Rev. 1, B. abortus RB51, B. abortus S19",False,"Brucella species (B. melitensis, B. abortus)","Goats, sheep, cattle","Mouse, cattle, goat, sheep",,,,licensed,Licensed for animal use; not approved for human use,"Live-attenuated Brucella strains (B. melitensis Rev. 1, B. abortus RB51, B. abortus S19)",Live-attenuated vaccine,
PMC1791660,full_text,Ether-Killed Saline-Oil Emulsion of Brucella Abortus and Strain 19,False,Brucella abortus,Cattle (pregnant heifers),Cattle (pregnant heifers),,,,research,,Brucella abortus (ether-killed cells and Strain 19),Ether-killed saline-oil emulsion,
PMC11224555,full_text,,False,Brucella spp.,"cattle, sheep, goats, pigs, humans",,,,,research,,synthetic oligosaccharides mimicking the M epitope of Brucella O-polysaccharide,"3-aminopropyl glycosides of (1→3)-linked, (1→2)-linked, and tetrasaccharide oligosaccharides related to N-formyl-d-perosamine",
PMC2918601,full_text,p-omp25 and p-ialB DNA vaccines (naked and lipoplex formulations),True,Brucella melitensis,"sheep, goats, cattle",mouse (murine model),intramuscular injection; DNA surface adsorbed to cationic liposomes (lipoplex) or naked DNA,"Plasmid Factory GmbH (Bielefeld, Germany) for DNA plasmids; Lionex GmbH (Germany) for recombinant proteins",,research,,Omp25 and IalB proteins from Brucella melitensis,"DNA plasmids (pCR3.1 and pTargeT backbones) encoding Omp25 and IalB, delivered as naked DNA or surface adsorbed to cationic liposomes (lipoplex)",omp25 and ialB genes from Brucella melitensis
PMC8876322,full_text,B. melitensis Rev1,False,"Brucella species (including B. abortus, B. melitensis, B. suis, B. canis, B. ovis, B. neotomae, B. ceti, B. pinnipedialis, B. microti, B. papionis, B. vulpis, B. inopinata)",domesticated animals and humans,,"HRM-PCR genotyping tool (diagnostic assay, not a vaccine delivery)",,,research,,Species-specific SNPs (panel of 17 SNPs),"PCR primers targeting SNPs, synthetic amplicons as reference profiles",Species- or biovar-specific SNPs identified from Brucella core-genome
PMC11102799,full_text,Brucella abortus RB51,False,Brucella abortus,cattle,,,,,licensed,,,,
PMC5107632,full_text,B. abortus RB51,False,Brucella abortus,cattle,,,,,,,,,omp25
PMC9324529,full_text,Live-attenuated B. suis Δpgm vaccine,False,Brucella suis,swine,mice,,,,research,,"B. suis Δpgm strain (deficient in phosphoglucomutase, unable to produce CβG or complete LPS)",live-attenuated bacterial vaccine,pgm (phosphoglucomutase)
PMC6220108,full_text,Brucella melitensis Rev. 1,False,Brucella melitensis,"humans, domestic animals",guinea pig,"subcutaneous, intraperitoneal, intramuscular, aerosol",,,licensed,,Brucella melitensis Rev. 1 mutant,live attenuated,
PMC6717133,full_text,B. melitensis Rev1,False,Brucella melitensis,goats and sheep,,,,,,,,,omp2a
PMC4625564,full_text,Recombinant Lrp/AsnC protein subunit vaccine,True,Brucella melitensis,Human,BALB/c mice,Intraperitoneal injection,,,research,,"Lrp/AsnC family proteins (BMEI0357, BMEI1098, BMEI1845, BMEII0346, BMEII0375, BMEII0395)",Purified recombinant proteins mixed with complete and incomplete Freund's adjuvant,"BMEI0357, BMEI1098, BMEI1845, BMEII0346, BMEII0375, BMEII0395"
PMC12540006,full_text,"B19 vaccine (for cattle), Rev 1 vaccine (for small ruminants)",False,"Brucella spp. (Brucella melitensis, Brucella abortus)","sheep, goats, cattle",,injection,,,licensed,,,,
PMC7560188,full_text,,False,Brucella abortus,"equines (horses, donkeys, jackasses)",,,,,,,,,
PMC6171495,full_text,Brucella abortus wadD mutant vaccine,True,Brucella abortus,"cattle, ruminants, camelids, swine, dogs, wildlife, humans",BALB/c mice,intraperitoneal injection,,stored in skim milk at -80°C,research,,Brucella abortus wadD mutant (attenuated strain with LPS core defect),live attenuated bacterial mutant,wadD (BAB1_0953)
PMC7851939,full_text,,False,"Brucella spp. (B. melitensis, B. abortus)",Humans,,,,,,,,,
PMC4594885,full_text,Brucella abortus strain RB51,False,Brucella abortus,Cattle,"Macrophage cell lines (e.g., mouse macrophage cell line J774)",,,,licensed,Licensed and used in the USA and many other countries,"Brucella abortus RB51 (rough strain, lacks O-polysaccharide due to wboA gene mutation)",Live attenuated rough Brucella abortus strain RB51,wboA (mutated/insertion leading to deficiency of O-polysaccharide)
PMC3516643,full_text,16MΔvjbR,False,Brucella melitensis,"human, animal","mice, macrophage",,,,research,,VjbR protein,genetically marked live vaccine,vjbR
PMC11645322,full_text,,False,"Brucella abortus, Brucella melitensis",Cattle,,,,,,,,,"BCSP31, IS711"
PMC4688359,full_text,BLSVP8d plant-based subunit vaccine,True,"Bovine rotavirus (BRV), group A, strain C486",Cattle (calves),Laying hens (for immunogenicity testing),Injectable (intramuscular); potential for oral delivery,,"Lyophilized (freeze-dried) leaf material, stable at room temperature",research,,VP8d domain of BRV VP8 protein fused to Brucella spp. lumazine synthase (BLS),Soluble protein extracts from fresh or lyophilized transplastomic tobacco leaves (Nicotiana tabacum L. cv. Petit Havana),"VP8d gene from BRV strain C486 fused to BLS gene from Brucella spp., expressed in tobacco chloroplasts"
PMC11077344,full_text,,False,Brucella species,Cattle,,,,,,,,,
PMC11944415,full_text,Ghostbuster Western Blot-based panel method,True,Brucella spp. (primarily Brucella abortus and Brucella melitensis),Bovine (cattle),Bovine (cattle),,,"PVDF membranes stored at 4°C for 1–2 months, at −20°C for at least half a year, and long-term at −70°C",research,,"Panel of isolated proteins from whole Brucella melitensis B115 (rough strain) cells, including outer membrane proteins (OMPs) and other cellular proteins",Protein antigen panel separated by SDS PAGE and immobilized on PVDF membranes for Western Blot analysis,
PMC11855416,full_text,Inactivated oil adjuvant Brucella abortus biovar 3 vaccine,True,Brucella abortus biovar 3,Cattle,BALB/c mice,Subcutaneous injection,"Bangladesh Agricultural University, Mymensingh, Bangladesh",Room temperature,research,,Formalin-inactivated Brucella abortus biovar 3 cells,Inactivated Brucella abortus biovar 3 antigen mixed with mineral oil adjuvant and 6% lanolin (1:1 ratio),erythritol (ery) gene region confirmed by AMOS-ERY PCR
PMC6963660,full_text,,False,"Brucella (B. melitensis, B. suis)",pig,,,,,,,,,
PMC5139923,full_text,Brucella chimeric recombinant subunit vaccine (TF-Bp26-Omp31),True,Brucella spp.,"Humans and domestic animals (cows, sheep, goats)",BALB/c mice,Subcutaneous injection,,"Stored at −70 °C after dialysis against phosphate buffered saline (PBS, pH=7.4)",research,,"Chimeric recombinant protein containing antigenic determinants of Trigger Factor (TF), Bp26, and Omp31",Purified recombinant chimeric protein (TF-Bp26-Omp31) with or without Freund’s Adjuvants,"Chimeric gene encoding TF (1-485aa), Bp26 (87–111, 25aa), Omp31 (48–74, 27aa), fused by EAAAK rigid linkers, codon optimized for expression in E. coli"
PMC4718986,full_text,16MΔhfq (hfq deletion mutant of Brucella melitensis 16M),False,Brucella melitensis,"Human, livestock (future evaluation in livestock mentioned)",BALB/c mice,Intraperitoneal injection,,,research,,Live attenuated Brucella melitensis 16M strain with hfq gene deletion,Live attenuated bacterial suspension,hfq (deletion mutant)
PMC11365029,full_text,Innovative Multi-Epitope mRNA Vaccine for Brucella melitensis,True,Brucella melitensis,Human,,"mRNA vaccine (in silico design, intended for injection)",,,research,,"Multi-epitope construct including surface proteins: VirB5, VirB2, Cyclic β-1,2-glucans (CβG), BtpA, bvrS, bvrR, OM25, OM31, OMP10, outer membrane protein, immunogenic protein, FrpB, FlgE, flgK, BRUME 26-kDa periplasmic immunogenic protein, Dihydrolipoyllysine, Ribosome-recycling factor","mRNA sequence encoding selected B-cell, CTL, and HTL epitopes from Brucella melitensis surface proteins, with adjuvant (RpfE), linkers (EAAAK, GPGPG, KK, AAY), tPA signal peptide, MITD sequence, 5′ m7GCap, 5′ UTR, Kozak sequence, 3′ UTR, Poly(A) tail","mRNA construct encoding selected epitopes from Brucella melitensis surface proteins (see antigen list), optimized for human expression (CAI 0.95, GC content 66.78%)"
PMC7049315,full_text,,False,Brucella melitensis,human,,,Razi vaccine and serum research institute,,,,,,
PMC6382750,full_text,Brucella melitensis Rev.1,False,Brucella melitensis,"goats, sheep",human trophoblastic cell line JEG-3,,,,licensed,,live attenuated B. melitensis Rev.1 strain,live attenuated bacterial vaccine,"BMEII0027 (VirB3), BMEII0704 (bacterioferritin), BMEI1759 (MetH), BMEII0815 (acetyl-CoA synthetase), BMEI1747 (aldehyde dehydrogenase), BMEI1980 (DNA starvation/stationary phase protection protein Dps), BME_RS02600 (cold-shock protein), BMEII1116 (VjbR), BMEII1048 (GroEL), BMEII0591 (sugar ABC transporter permease), BMEII1053 (glucose/galactose transporter), BMEII0931 (NrdI), BMEII0056 (magnesium-translocating P-type ATPase), BMEII0361 (sugar ABC transporter ATP-binding protein), BMEII0923 (ABC transporter substrate-binding protein)"
PMC5402848,full_text,,False,"Brucella abortus, Brucella melitensis","humans, cattle",,,,,,,,,
PMC9416531,full_text,"B. abortus S19, B. abortus RB51, B. melitensis Rev.1",False,"Brucella spp. (B. abortus, B. melitensis, B. suis)","Livestock (cattle, sheep, goats)",,Live-attenuated injection,,,licensed,,Live-attenuated Brucella strains,Live-attenuated bacterial vaccine,
PMC4691964,full_text,L7/L12-TOmp31 fusion protein vaccine,True,Brucella melitensis and Brucella abortus,Human,Mouse (Balb/c),,,-20 °C,research,,L7/L12 ribosomal protein and truncated Omp31 outer membrane protein,"Recombinant fusion protein expressed in E. coli, purified with Ni-NTA column under denaturing conditions, dialyzed against urea and PBS","L7/L12 (accession AQIS01006.1), TOmp31 (accession KJ411877), fusion gene L7/L12-TOmp31 (accession KJ396241)"
PMC6063340,full_text,"RB51, S19, Rev1",False,"Brucella abortus, Brucella melitensis","Bovids (cattle), small ruminants (sheep, goats)",,,,,licensed,Licensed for animal use (not for humans),Smooth O-sidechain lipopolysaccharide (sLPS) for S19 and Rev1; rough LPS (rLPS) for RB51,Live attenuated bacterial vaccine,
PMC8863669,full_text,,True,"Brucella spp. (Brucella abortus, Brucella melitensis)","Cattle (calves), potentially sheep and goats",,Injection (annual calf vaccination),,,research,,,,
PMC11047185,full_text,,False,Brucella spp.,humans,goats,,,,,,,,
PMC10675282,full_text,Brucella melitensis REV-1,False,Brucella melitensis,"sheep, goats",,,"CZ Veterinaria SA, Porrino, Spain",,licensed,,,,"omp19, mviN, manA, perA, wbkA, virB, cbg, ure"
PMC11589429,full_text,ABOR,False,Brucella abortus,cattle,guinea pig (Cavia porcellus),subcutaneous injection,"GeneCust, Luxembourg S.A.","lyophilized at −40°C, complete vacuum for three hours",research,,"multi-epitope recombinant polypeptide (ABOR) containing epitopes from MOXR family ATPase-α2, T9SS C-terminal Target domain-containing protein, Cobyric acid synthase, Hypothetical protein, and VirB11 type IV Secretion protein",ABOR recombinant protein (10 mg) combined with chitin microparticles (50 μg) as adjuvant,"Synthetic gene encoding ABOR polypeptide (549 amino acids, 1710 bp), cloned into pET22b expression vector"
PMC5122831,full_text,Recombinant Omp25 subunit vaccine,True,Brucella melitensis,human,mouse,,,-20 °C,research,,Omp25 protein,Recombinant Omp25 protein purified from E. coli BL21 (DE3) using Ni-NTA affinity chromatography under denaturing conditions,Omp25 gene from Brucella melitensis Rev1
PMC12349820,full_text,,False,"Brucella abortus, Brucella melitensis",Human,,,,,,,,,
PMC11551654,full_text,"B. melitensis Rev.1, B. abortus RB51",False,"Brucella melitensis, Brucella abortus","Livestock (sheep, goats, cattle)",,,Razi Vaccine and Serum Research Institute,,,,"Immunodominant antigen (bp26), Polysaccharide deacetylase, Erythritol catabolism protein, Transcriptional regulator (CRP family)",,"bp26, wboA, eryC"
PMC7096303,full_text,,False,Brucella species (primarily Brucella abortus),"bovine (cattle, buffaloes), small ruminants (sheep, goats)",,injection (one-time vaccination of eligible female calves),,,research,,,live Brucella vaccine,
PMC11608534,full_text,,False,Brucella spp.,"Livestock (cattle, sheep, goats)",,,,,,,,,
PMC4623799,full_text,,False,Brucella spp. (including B. abortus biovar 3 and B. melitensis biovar 1),"Animals (cattle, sheep, goats) and humans",,,Razi Vaccine and Serum Research Institute of Iran,,research,,Lipopolysaccharide (LPS) O-polysaccharide,,wboA
PMC12705303,full_text,,False,"Brucella abortus, Brucella melitensis",horse,,,,,,,,,
PMC10133664,full_text,RB51 live attenuated vaccine,False,Brucella abortus,Cattle (bovine),,,,,licensed,,,live attenuated,
PMC8416582,full_text,,False,,,,,,,,,,,
PMC12748177,full_text,B. melitensis ΔpurD live attenuated vaccine,True,Brucella melitensis,"cattle, sheep, pigs, dogs, humans",mouse,,"Shanghai Veterinary Research Institute, CVCC (China)",,research,,live attenuated B. melitensis ΔpurD mutant,live attenuated bacterial strain,purD
PMC11623542,full_text,Brucella vaccine,False,Brucella spp.,"Livestock (cattle, sheep, pigs); humans (potential, but no approved vaccine)","Laboratory animal models (various species, as annotated in articles)",,,,research,,,,
PMC10748716,full_text,,False,Brucella,humans,,,,,,,,,
PMC8573403,full_text,,False,Brucella abortus,sheep,,,,,,,,,
PMC4013996,full_text,Brucella abortus B19 vaccine,False,Brucella abortus,cattle,,,,,licensed,,,,
PMC5313482,full_text,U-Omp19-adjuvanted oral Salmonella vaccine,True,Salmonella enterica serovar Typhimurium,humans,"BALB/c mice, CF-1 mice",oral (intragastric gavage),,aliquots stored at −70°C,research,,"heat-killed Salmonella Typhimurium extract (HKS), recombinant Flagellin (FliC), recombinant SseB",heat-killed Salmonella extract or recombinant antigens coadministered with U-Omp19 adjuvant,"U-Omp19 (unlipidated outer membrane protease inhibitor from Brucella abortus), Flagellin (FliC), SseB"
PMC7697571,full_text,,False,Brucella spp.,"sheep, goats",,,,,,,,,
PMC7409340,full_text,,False,"Brucella abortus, Brucella melitensis, Brucella suis",Camelus dromedarius (dromedary camel),,,,,,,,,
PMC2995898,full_text,Brucella abortus S19,False,Brucella abortus,Cattle,Mouse,Live attenuated injection,,,licensed,,Smooth lipopolysaccharide (S-LPS) with O-antigen,Live attenuated strain,
PMC5842486,full_text,,False,Brucella abortus,human,,,,,research,,"Quaternary benzylisoquinoline alkaloids (palmatine, berberine, columbamine, jatrorhizine)",Methanol extract and purified fractions from Berberis integerrima roots,
PMC1820992,full_text,Foot-and-Mouth Disease Vaccine,False,Foot-and-Mouth Disease Virus (FMDV),"Cattle, Sheep, Goats",,,,,licensed,,FMDV structural proteins (types A and O),polyvalent vaccine,
PMC11296032,full_text,,False,"Brucella spp. (including B. melitensis, B. abortus, B. suis, B. canis)",Humans,,,,,,,,,
PMC4475659,full_text,,True,Brucella melitensis,"humans, domestic animals",,,,,research,,GroEL protein (heat shock protein 60),epitope-based subunit vaccine (predicted B-cell and T-cell epitopes),GroEL gene (accession number KJ889017)
PMC8715116,full_text,Brucella vaccine,False,Brucella spp.,Cattle,,Injection,,,,,,,
PMC6048087,full_text,B. abortus S19 anti-Brucella antibody serum,True,Brucella abortus,"bovine, human","mice, guinea pig",subcutaneous injection (passive immunization),,serum stored at −80°C,research,,"B. abortus S19, B. abortus S99 smooth lipopolysaccharide (SLPS)","immune serum containing anti-Brucella antibodies (IgM, IgG)",
PMC5876769,full_text,,False,Brucella suis,pig,,,,,,,,,
PMC11631841,full_text,B19 and RB51,False,Brucella abortus,Bovine (cattle) and buffalo females,,Injection,,Cold chain; delivered in ice Styrofoam boxes,licensed,Licensed and recommended by the World Organization for Animal Health (WOAH) and Brazilian Ministry of Agriculture and Livestock (MAPA),Live attenuated Brucella abortus strains (B19 and RB51),"Lyophilized form with diluent; available in vials of 10, 15, 25, and 50 doses",
PMC9798059,full_text,,False,Brucella melitensis,sheep (ovine),rabbit (for antibody production),,"Veterinary Serum and Vaccine Research Institute, Egypt",Stored at 4°C until further use,research,,Lipopolysaccharide (LPS) of Brucella melitensis,"LPS conjugated with 40-nm nanogold particles, loaded on lateral flow immunochromatographic test strip",
PMC8217529,full_text,pVAX-omp31 and pcDNA-omp31 DNA vaccines,True,Brucella melitensis and Brucella ovis,"goats, sheep, cows, dogs, camels",BALB/c mice,intramuscular injection,,,research,,Omp31 (outer membrane protein 31),"DNA plasmid (pVAX1 or pcDNA3.1) encoding Omp31, boosted with recombinant Omp31 protein in Freund’s adjuvant",omp31
PMC9130827,full_text,DOX-HCQ-SLN (Solid Lipid Nanoparticles loaded with doxycycline and hydroxychloroquine),False,Brucella melitensis,Human,Wistar rat,Intraperitoneal injection,,Lyophilized powder stored at 4°C (refrigerator temperature),research,,,"Solid lipid nanoparticles (SLN) loaded with doxycycline and hydroxychloroquine, stabilized with palm oil, poloxamer407, soy lecithin, Tween 80, and labeled with cadmium-telluride quantum dot",
PMC7970042,full_text,Brucella suis bv. 1 str. S2,False,Brucella spp.,"swine, cattle, goats, sheep, dogs, dolphins, humans",RAW 264.7 murine macrophage cells,,,,licensed,China,"outer membrane proteins (Omps), specifically Omp16, Omp19, Omp25, Omp31",live attenuated,Omp16
PMC6884894,full_text,Recombinant Bp26 protein vaccine,True,Brucella spp.,"Livestock (e.g., sheep, cattle), Human",Mouse,"Nasal administration (with adjuvant cholera toxin, in mouse model)",,Lyophilized protein stored at -20°C,research,,Bp26 protein (major outer membrane protein of Brucella),"Recombinant Bp26 protein, co-administered with adjuvant (cholera toxin in mouse model)","bp26 gene (encoding Bp26 protein, also known as Omp28)"
PMC6630281,full_text,S19 vaccine,False,Brucella abortus,Cattle,,,,,licensed,,,,
PMC11670368,full_text,Brucella vaccine,True,Brucella spp.,Cattle,,,,,,,,,
PMC12588999,full_text,A19 vaccine,False,Brucella abortus,cattle,,,,,licensed,,,,
PMC12551604,full_text,,False,Brucella melitensis,humans,,,,,,,,,
PMC10073595,full_text,Brucella abortus RB51,False,Brucella abortus,Cattle,,,,,licensed,,,,
PMC7854899,full_text,"Combined Subunit Vaccine (CSV) of Brucella abortus recombinant proteins L7/L12, Omp16, Omp19, and Omp28",True,Brucella abortus,"Human (intended), Bovine (natural host, suggested for future studies)","BALB/c mouse, RAW 264.7 cell line",Intraperitoneal injection,,,research,,"Recombinant proteins: L7/L12, Omp16, Omp19, Omp28","Mixture of four recombinant proteins (rL7/L12, rOmp16, rOmp19, rOmp28) with incomplete Freund's adjuvant (IFA)","rplL (L7/L12), Omp16, Omp19, Omp28"
PMC12519315,full_text,,False,Brucella canis,dog,,,,,,,"Brucella canis-based antigen, Brucella abortus-based antigen, Brucella ovis-based antigen, Brucella melitensis-based antigen, Brucella suis-based antigen",,
PMC4317636,full_text,Live plague vaccine (LPV) EV NIIEG,False,Yersinia pestis,Human,"Mice, guinea pigs, Papio hamadryas baboons","Cutaneous scarification, subcutaneous, intradermal, aerosol, oral tablet","Scientific Research Institute of Epidemiology and Hygiene (NIIEG), Kirov","Lyophilized suspension, stored at 2–8°C",licensed,Licensed for human use in Russia and FSU countries,Live attenuated Y. pestis EV NIIEG strain,"Lyophilized suspension, oral dissolving tablets",Deletion of pigmentation locus (Pgm)
PMC5840964,full_text,L7/L12-SOmp2b fusion protein,False,"Brucella abortus, Brucella melitensis",human,BALB/c mice,,,stored at −20°C,research,,"L7/L12 ribosomal protein, SOmp2b (outer membrane protein 2b, signal peptide-lacking form)","fusion protein, recombinant, subunit vaccine",GenBank accession number KX159298
PMC8253117,full_text,B. melitensis M5-90,False,Brucella melitensis,goat,"goat, mouse","subcutaneous injection, mucosal immunization","Center of Chinese Disease Prevention and Control (Beijing, China)",frozen at −80 °C with 75% (v/v) glycerol,research,,attenuated B. melitensis M5-90 strain,live attenuated bacterial vaccine,"manB, tuf2, vjbR, wboA"
PMC6257656,full_text,Ag85A-DC vaccine,False,,colorectal carcinoma (CT26 tumor cells),C57BL/6 mice,intratumoral injection,,,research,,Ag85A protein (from Mycobacterium),Dendritic cells (DC 2.4) transfected with Ag85A gene and pulsed with CT26 tumor cell lysate,"Ag85A gene (from Mycobacterium), delivered via pcDNA3.1+/Ag85A plasmid"
PMC6158377,full_text,B. ovis Δ omp10 Δ ugpB Δ omp31,False,Brucella ovis,sheep,mouse (BALB/c),intraperitoneal injection,,,research,,"live attenuated B. ovis mutant lacking omp10, ugpB, and omp31 genes",live attenuated bacterial vaccine,"omp10, ugpB, omp31"
PMC8844668,full_text,IRR-B. ovis,False,"Brucella ovis, Brucella melitensis, Brucella abortus","sheep, goats, cattle",BALB/c mice,intraperitoneal injection,,stored at 4℃ after gamma irradiation,research,,gamma-irradiated whole-cell B. ovis (R-form lipopolysaccharide as major surface antigen),"gamma-irradiated, metabolically active but replication-incompetent B. ovis",
PMC12656221,full_text,Brucella abortus Strain 19,False,Brucella abortus,Cattle (heifers),,Injection,,,licensed,,,,
PMC11728289,full_text,,False,"Brucella spp., Coxiella burnetii","cattle, sheep, goats",,,,,,,,,
PMC8235727,full_text,,False,"Brucella melitensis, Brucella abortus","Cattle, buffaloes, sheep, goats (livestock); humans (zoonotic potential)",,,,,,,,,
PMC12661891,full_text,,False,Brucella spp.,"Humans, livestock (cattle, sheep, goats)",,,,,,,,,
PMC9438146,full_text,,False,"Multiple: Contagious bovine pleuropneumonia (CBPP), Foot-and-mouth disease (FMD), Bovine tuberculosis (bTB), Peste des petits ruminants (PPR), Lumpy skin disease (LSD), Blackleg, Brucellosis, Contagious caprine pleuropneumonia (CCPP), Pasteurellosis, Anthrax, Goat pox, Sheep pox","Ruminant livestock (cattle, sheep, goats, buffalo, camel)",,"Parenteral (injection), field vaccination campaigns, sometimes combined with deworming, dipping, or antimicrobial treatment","Multiple; mainly local production in 17 sub-Saharan African countries, with Ethiopia as a major producer",Cold chain required; field failures due to cold chain breakdown and adverse weather events reported,licensed,,"Varies by disease: live attenuated or inactivated pathogens (e.g., live attenuated for PPR, FMD, LSD, etc.)","Varies by disease; includes live attenuated and inactivated vaccines, sometimes combined with other interventions (e.g., deworming)",
PMC8319746,full_text,Rev.1,False,Brucella ovis,sheep,mouse,subcutaneous injection,,,licensed,Licensed for use in sheep in some regions (not approved for use in areas free of B. melitensis),Live attenuated Brucella melitensis Rev.1 strain,Live attenuated vaccine,
PMC3658580,full_text,,False,Brucella spp.,cattle,,,,,,,,,
PMC5960792,full_text,,False,Brucella melitensis,goat,,,,,,,,,
PMC6607442,full_text,S19 anti-Brucella abortus vaccine strain,False,Brucella abortus,"Cattle (also used in livestock such as buffalo, camels, yaks, sheep, and goats)",,,,,licensed,,,,
PMC11073494,full_text,Brucella melitensis CMCC55210a,False,Brucella melitensis,"small ruminants (sheep, goats)",BALB/c mice,intraperitoneal injection (in animal model),"National Center for Medical Culture Collections (CMCC), China",stored in tryptic soy broth with 20% glycerol at −80°C,research,,"attenuated live Brucella melitensis CMCC55210a (rough mutant, LPS-deficient)",live attenuated bacterial suspension,"manB (phosphomannomutase, L356P mutation), hsdM (type I restriction–modification system, multiple deletions)"
PMC9316274,full_text,B. melitensis Rev1 (BRUCEVAC),False,Brucella melitensis,sheep and goats (small ruminants),,conjunctival route,"Jordan Bioindustrial Center, JOVAC",,licensed,,live attenuated B. melitensis Rev1,live attenuated vaccine,
PMC12163636,full_text,,False,Brucella abortus,cattle,,,,,,,,,
PMC8487608,full_text,MEL recombinant protein (multi-epitope subunit vaccine),True,Brucella melitensis,"sheep, goats",guinea pig (Cavia porcellus),subcutaneous injection,"GeneCreate Biological Engineering Co (China) (gene synthesis); protein expression in E. coli BL21 (DE3) (Invitrogen, Germany)",-20°C for protein extracts; oven-dried chitin microparticles at 50°C,research,,MEL recombinant protein (multi-epitope protein containing selected T-cell and B-cell epitopes from B. melitensis immunogenic proteins),"Recombinant MEL protein with chitin microparticles as adjuvant, delivered in PBS","Synthetic gene encoding MEL poly-epitope protein, cloned into pET22b expression vector"
PMC7574566,full_text,,False,Brucella spp.,"Livestock (cattle, sheep, goats, pigs, yaks, camels)",,Mass vaccination of animals,,,research,,,,
PMC10056860,full_text,,False,Brucella spp. (including B. melitensis and B. abortus),"camels, sheep, goats",,,,,,,,,
PMC6340351,full_text,Brucella melitensis strain Rev.1,False,Brucella melitensis,"sheep, goats",,,Iranian Veterinary Organization,,licensed,,,,
PMC12750914,full_text,,False,"Brucella melitensis, Brucella abortus","Sheep, Cattle, Humans",,,,,,,,,
PMC12327067,full_text,Rabies vaccine,False,Rabies virus,Human,,,,,licensed,,,,
PMC12400666,full_text,,False,Brucella spp.,Human,,,,,,,,,
PMC10459711,full_text,"S19, RB51, Rev 1",False,"Brucella species (B. abortus, B. melitensis)","Cattle (S19, RB51), Small ruminants (Rev 1)","Mouse (for S19 quality control), target livestock species","Conjunctival administration during calfhood (S19), unspecified for RB51 and Rev 1",,,licensed,WOAH-recognized,"Live attenuated Brucella strains: S19 (smooth B. abortus), RB51 (rough B. abortus), Rev 1 (smooth B. melitensis)",Live attenuated bacterial vaccine,
PMC3730540,full_text,,False,"Brucella spp., group A rotavirus, enterotoxogenic E. coli",Camelus dromedarius (camel),,oral (feeding edible transgenic plants containing genes coding for cholera toxin B subunit),,,research,,"cholera toxin B subunit (for transgenic plant-based vaccine), Brucella antigens, group A rotavirus antigens, E. coli fimbrial antigens",edible transgenic plants expressing cholera toxin B subunit gene,cholera toxin B subunit gene
PMC9681985,full_text,IBR marker (gE deleted) vaccine,False,Bovine alphaherpesvirus-1 (BoHV-1),Cattle,,,,,research,,gE protein of BoHV-1,inactivated marker (gE deleted) vaccine,gE
PMC12338677,full_text,,False,,,,,,,,,,,
PMC6883101,full_text,,False,Infectious bursal disease virus (IBDV),Chicken,Chicken embryo,,,,research,,VP2 protein,,VP2 gene
